file,time_h,time_m,cx,cy,minute_x,minute_y,hour_x,hour_y,rotation_deg,status,rotation_deg_int
train/1-00/1.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/12.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/13.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/15.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/16.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/17.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/18.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/19.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/2.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/20.jpg,1,0,112.0,112.0,112.0,187.0,84.5,159.63,180,ok,180
train/1-00/21.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/23.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/26.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/27.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/28.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/29.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/3.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/30.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/32.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/33.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/34.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/36.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/37.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/4.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/40.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/42.jpg,1,0,112.0,112.0,187.0,112.0,159.63,139.5,90,ok,90
train/1-00/44.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/45.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/46.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/47.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/48.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/49.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/5.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/52.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/56.jpg,1,0,112.0,112.0,112.0,187.0,84.5,159.63,180,ok,180
train/1-00/57.jpg,1,0,112.0,112.0,187.0,112.0,159.63,139.5,90,ok,90
train/1-00/6.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/61.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/62.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/63.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/64.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/66.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/67.jpg,1,0,112.0,112.0,187.0,112.0,159.63,139.5,90,ok,90
train/1-00/68.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/72.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/73.jpg,1,0,112.0,112.0,37.0,112.0,64.37,84.5,270,ok,270
train/1-00/74.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/76.jpg,1,0,112.0,112.0,187.0,112.0,159.63,139.5,90,ok,90
train/1-00/78.jpg,1,0,112.0,112.0,112.0,37.0,139.5,64.37,0,ok,0
train/1-00/79.jpg,1,0,112.0,112.0,112.0,187.0,84.5,159.63,180,ok,180
train/1-00/80.jpg,1,0,112.0,112.0,112.0,187.0,84.5,159.63,180,ok,180
