file,time_h,time_m,cx,cy,minute_x,minute_y,hour_x,hour_y,rotation_deg,status
train/1-00/0.jpg,1,0,112,112,205,112,164,142,90,ok
train/1-00/1.jpg,1,0,112,112,2,112,17,57,270,ok
train/1-00/11.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/12.jpg,1,0,112,112,2,112,59,82,270,ok
train/1-00/13.jpg,1,0,112,112,2,112,59,82,270,ok
train/1-00/14.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/15.jpg,1,0,112,112,112,17,144,56,0,ok
train/1-00/16.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/17.jpg,1,0,112,112,112,14,142,59,0,ok
train/1-00/18.jpg,1,0,112,112,112,2,143,58,0,ok
train/1-00/19.jpg,1,0,112,112,112,2,142,59,0,ok
train/1-00/2.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/20.jpg,1,0,112,112,112,204,82,164,180,ok
train/1-00/21.jpg,1,0,112,112,18,112,59,82,270,ok
train/1-00/22.jpg,1,0,112,112,112,2,143,58,0,ok
train/1-00/23.jpg,1,0,112,112,222,112,207,167,90,ok
train/1-00/25.jpg,1,0,112,112,2,112,17,57,270,ok
train/1-00/26.jpg,1,0,112,112,112,218,59,204,180,ok
train/1-00/27.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/28.jpg,1,0,112,112,112,2,142,59,0,ok
train/1-00/29.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/3.jpg,1,0,112,112,112,222,57,207,180,ok
train/1-00/30.jpg,1,0,112,112,112,2,142,59,0,ok
train/1-00/32.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/33.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/34.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/35.jpg,1,0,112,112,112,2,166,18,0,ok
train/1-00/36.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/37.jpg,1,0,112,112,112,3,150,45,0,ok
train/1-00/39.jpg,1,0,112,112,2,112,56,80,270,ok
train/1-00/4.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/40.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/42.jpg,1,0,112,112,222,112,164,142,90,ok
train/1-00/43.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/44.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/45.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/46.jpg,1,0,112,112,2,112,59,82,270,ok
train/1-00/47.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/48.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/49.jpg,1,0,112,112,2,112,17,57,270,ok
train/1-00/5.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/52.jpg,1,0,112,112,222,112,207,167,90,ok
train/1-00/54.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/55.jpg,1,0,112,112,2,112,17,57,270,ok
train/1-00/56.jpg,1,0,112,112,112,204,82,164,180,ok
train/1-00/57.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/58.jpg,1,0,112,112,222,112,165,142,90,ok
train/1-00/6.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/61.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/62.jpg,1,0,112,112,112,15,142,59,0,ok
train/1-00/63.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/64.jpg,1,0,112,112,112,16,142,59,0,ok
train/1-00/65.jpg,1,0,112,112,3,112,17,57,270,ok
train/1-00/66.jpg,1,0,112,112,12,112,59,82,270,ok
train/1-00/67.jpg,1,0,112,112,222,112,164,142,90,ok
train/1-00/68.jpg,1,0,112,112,15,112,55,79,270,ok
train/1-00/71.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/72.jpg,1,0,112,112,112,2,142,59,0,ok
train/1-00/73.jpg,1,0,112,112,2,112,51,76,270,ok
train/1-00/74.jpg,1,0,112,112,222,112,207,167,90,ok
train/1-00/76.jpg,1,0,112,112,112,220,68,188,180,ok
train/1-00/77.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/78.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/79.jpg,1,0,112,112,112,222,57,207,180,ok
train/1-00/80.jpg,1,0,112,112,112,204,82,164,180,ok
train/1-00/82.jpg,1,0,112,112,112,222,57,207,180,ok
train/1-00/83.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/85.jpg,1,0,112,112,112,209,82,164,180,ok
train/1-00/86.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/88.jpg,1,0,112,112,112,17,142,59,0,ok
train/1-00/89.jpg,1,0,112,112,112,2,142,59,0,ok
train/1-00/9.jpg,1,0,112,112,2,112,59,82,270,ok
train/1-00/90.jpg,1,0,112,112,112,2,167,17,0,ok
train/1-00/91.jpg,1,0,112,112,112,222,57,207,180,ok
train/1-00/93.jpg,1,0,112,112,222,112,207,167,90,ok
train/1-00/94.jpg,1,0,112,112,112,17,167,17,0,ok
train/1-00/95.jpg,1,0,112,112,19,112,59,82,270,ok
train/1-00/97.jpg,1,0,112,112,112,18,142,59,0,ok
train/1-00/98.jpg,1,0,112,112,205,112,164,142,90,ok
train/1-00/99.jpg,1,0,112,112,2,112,59,82,270,ok
train/1-05/10.jpg,1,5,112,112,159,31,160,36,0,ok
train/1-05/11.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/12.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/13.jpg,1,5,112,112,17,57,19,53,270,ok
train/1-05/14.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/16.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/17.jpg,1,5,112,112,163,24,167,25,0,ok
train/1-05/18.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/19.jpg,1,5,112,112,158,31,158,39,0,ok
train/1-05/2.jpg,1,5,112,112,207,167,186,159,90,ok
train/1-05/20.jpg,1,5,112,112,162,25,158,39,0,ok
train/1-05/21.jpg,1,5,112,112,167,17,163,32,0,ok
train/1-05/23.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/24.jpg,1,5,112,112,28,64,34,63,270,ok
train/1-05/25.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/26.jpg,1,5,112,112,59,204,55,202,180,ok
train/1-05/27.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/28.jpg,1,5,112,112,17,57,34,63,270,ok
train/1-05/29.jpg,1,5,112,112,17,57,19,53,270,ok
train/1-05/3.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/30.jpg,1,5,112,112,31,65,33,61,270,ok
train/1-05/32.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/33.jpg,1,5,112,112,158,31,158,39,0,ok
train/1-05/34.jpg,1,5,112,112,207,167,186,159,90,ok
train/1-05/37.jpg,1,5,112,112,160,28,163,32,0,ok
train/1-05/38.jpg,1,5,112,112,31,65,34,63,270,ok
train/1-05/39.jpg,1,5,112,112,17,57,34,63,270,ok
train/1-05/4.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/41.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/42.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/43.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/44.jpg,1,5,112,112,25,62,34,62,270,ok
train/1-05/46.jpg,1,5,112,112,31,65,34,63,270,ok
train/1-05/47.jpg,1,5,112,112,160,28,162,34,0,ok
train/1-05/48.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/50.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/51.jpg,1,5,112,112,167,17,158,39,0,ok
train/1-05/52.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/54.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/56.jpg,1,5,112,112,62,199,62,190,180,ok
train/1-05/57.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/58.jpg,1,5,112,112,17,57,19,53,270,ok
train/1-05/59.jpg,1,5,112,112,17,57,34,63,270,ok
train/1-05/6.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/60.jpg,1,5,112,112,161,27,161,34,0,ok
train/1-05/61.jpg,1,5,112,112,66,192,59,195,180,ok
train/1-05/64.jpg,1,5,112,112,158,31,158,39,0,ok
train/1-05/65.jpg,1,5,112,112,18,58,19,53,270,ok
train/1-05/66.jpg,1,5,112,112,161,27,161,34,0,ok
train/1-05/67.jpg,1,5,112,112,167,17,158,39,0,ok
train/1-05/69.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/71.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/72.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/73.jpg,1,5,112,112,158,31,163,32,0,ok
train/1-05/74.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/75.jpg,1,5,112,112,162,25,165,29,0,ok
train/1-05/76.jpg,1,5,112,112,34,67,20,53,270,ok
train/1-05/77.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/79.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/8.jpg,1,5,112,112,160,28,158,39,0,ok
train/1-05/80.jpg,1,5,112,112,164,21,164,30,0,ok
train/1-05/81.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/82.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/83.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/85.jpg,1,5,112,112,66,192,62,190,180,ok
train/1-05/86.jpg,1,5,112,112,65,193,63,189,180,ok
train/1-05/87.jpg,1,5,112,112,158,31,158,39,0,ok
train/1-05/88.jpg,1,5,112,112,160,28,160,36,0,ok
train/1-05/89.jpg,1,5,112,112,57,207,53,205,180,ok
train/1-05/9.jpg,1,5,112,112,196,160,190,162,90,ok
train/1-05/90.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/91.jpg,1,5,112,112,207,167,205,171,90,ok
train/1-05/92.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/93.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/94.jpg,1,5,112,112,167,17,171,19,0,ok
train/1-05/95.jpg,1,5,112,112,167,17,167,25,0,ok
train/1-05/96.jpg,1,5,112,112,167,17,158,39,0,ok
train/1-05/97.jpg,1,5,112,112,159,31,158,39,0,ok
train/1-05/98.jpg,1,5,112,112,160,28,160,36,0,ok
train/1-05/99.jpg,1,5,112,112,158,31,170,21,0,ok
train/1-10/0.jpg,1,10,112,112,192,66,147,62,0,ok
train/1-10/1.jpg,1,10,112,112,17,167,49,202,180,ok
train/1-10/10.jpg,1,10,112,112,167,207,161,146,90,ok
train/1-10/11.jpg,1,10,112,112,17,167,49,202,180,ok
train/1-10/12.jpg,1,10,112,112,193,66,147,62,0,ok
train/1-10/14.jpg,1,10,112,112,207,57,175,22,0,ok
train/1-10/19.jpg,1,10,112,112,192,66,147,62,0,ok
train/1-10/2.jpg,1,10,112,112,158,192,161,146,90,ok
train/1-10/20.jpg,1,10,112,112,197,63,147,62,0,ok
train/1-10/21.jpg,1,10,112,112,57,17,62,77,270,ok
train/1-10/22.jpg,1,10,112,112,166,206,201,175,90,ok
train/1-10/23.jpg,1,10,112,112,17,167,49,202,180,ok
train/1-10/25.jpg,1,10,112,112,38,155,49,202,180,ok
train/1-10/26.jpg,1,10,112,112,205,58,174,24,0,ok
train/1-10/27.jpg,1,10,112,112,207,57,175,22,0,ok
train/1-10/28.jpg,1,10,112,112,192,66,147,62,0,ok
train/1-10/29.jpg,1,10,112,112,207,57,147,62,0,ok
